repo_name,number,touches_test_files,touches_production_files
zylon-ai_private-gpt,2140,FALSE,TRUE
zylon-ai_private-gpt,2116,FALSE,FALSE
zenorocha_clipboard.js,870,FALSE,FALSE
zenorocha_clipboard.js,863,FALSE,FALSE
zenorocha_clipboard.js,859,FALSE,FALSE
ytdl-org_youtube-dl,33227,FALSE,TRUE
ytdl-org_youtube-dl,33221,FALSE,FALSE
ytdl-org_youtube-dl,33216,TRUE,TRUE
ytdl-org_youtube-dl,33215,FALSE,FALSE
ytdl-org_youtube-dl,33201,FALSE,TRUE
ytdl-org_youtube-dl,33199,FALSE,FALSE
ytdl-org_youtube-dl,33198,FALSE,TRUE
ytdl-org_youtube-dl,33194,FALSE,FALSE
ytdl-org_youtube-dl,33193,FALSE,FALSE
ytdl-org_youtube-dl,33189,FALSE,TRUE
ytdl-org_youtube-dl,33180,FALSE,TRUE
ytdl-org_youtube-dl,33175,FALSE,TRUE
ytdl-org_youtube-dl,33164,FALSE,FALSE
ytdl-org_youtube-dl,33154,TRUE,TRUE
ytdl-org_youtube-dl,33153,FALSE,TRUE
ytdl-org_youtube-dl,33143,FALSE,FALSE
ytdl-org_youtube-dl,33141,FALSE,TRUE
ytdl-org_youtube-dl,33132,FALSE,FALSE
ytdl-org_youtube-dl,33116,FALSE,FALSE
ytdl-org_youtube-dl,33109,TRUE,TRUE
ytdl-org_youtube-dl,33082,TRUE,TRUE
ytdl-org_youtube-dl,33074,TRUE,TRUE
ytdl-org_youtube-dl,33056,FALSE,TRUE
ytdl-org_youtube-dl,33049,TRUE,TRUE
ycm-core_YouCompleteMe,4317,FALSE,FALSE
yarnpkg_yarn,9207,FALSE,FALSE
yarnpkg_yarn,9206,TRUE,FALSE
yarnpkg_yarn,9205,TRUE,FALSE
yarnpkg_yarn,9204,TRUE,FALSE
yarnpkg_yarn,9185,FALSE,FALSE
yarnpkg_yarn,9180,FALSE,FALSE
yarnpkg_yarn,9178,FALSE,FALSE
yarnpkg_yarn,9176,TRUE,FALSE
yarnpkg_yarn,9170,FALSE,FALSE
yarnpkg_yarn,9162,FALSE,FALSE
yarnpkg_yarn,9158,FALSE,FALSE
yarnpkg_yarn,9154,FALSE,FALSE
